0.26607,-0.16562,0.32098,0.4833,0.17234,0.27336,0.37118,0.92982,0.25117,0.15934,1
0.13029,0.87074,-3.2105,0.062493,0.26172,1.4361,1.4659,0.6362,0.28235,0.51559,1
-0.11658,0.069915,0.068476,-0.78315,0.26172,0.43946,-0.081827,-0.88824,-0.12301,0.58294,1
0.031541,0.2976,-3.2105,-0.58359,-0.72144,-0.30798,0.71093,1.0517,0.59417,-0.53399,1
0.22904,0.80793,-0.052442,0.082634,0.26172,0.14879,0.63543,0.051062,0.032902,-0.086652,6
0.11795,-0.22058,-3.2105,-1.6232,0.26172,-0.34951,0.25793,-0.38598,-0.24773,-0.33131,1
0.38951,-0.22058,-3.2105,-2.6242,0.26172,-0.76476,0.48443,-0.59751,-0.37246,-0.81026,1
0.019197,-0.040001,0.28897,-0.042597,0.26172,-1.0139,0.069175,0.8907,0.095265,-0.84201,6
0.50061,0.14058,0.38855,-0.63736,0.26172,-0.68171,0.29568,0.93105,0.50062,-0.6423,8
-0.25237,0.069915,0.2463,0.52355,0.26172,-1.2215,0.89968,1.3731,0.62535,-1.4009,5
-0.042522,-2.3954,-3.2105,-1.1285,-0.72144,0.39794,0.25793,-1.1673,-0.060642,0.34554,1
-3.4988,-0.56603,0.1396,-5.4401,0.97674,-0.84781,-1.1766,-2.0081,0.43826,0.009512,9
0.043885,-0.17347,0.28542,-0.77512,0.17234,-0.39103,0.33343,-1.8077,-0.99609,-0.41085,6
0.15498,0.33686,0.068476,0.021525,0.26172,0.024215,0.031425,0.079292,0.31354,0.12568,1
0.29076,-0.18917,0.079145,-0.085921,0.97674,-1.4707,-0.95009,-0.27353,0.96835,-0.72496,9
0.14264,-0.24413,-3.207,0.16552,0.88736,-2.0936,-0.87458,-2.6945,-3.3347,-1.3994,9
-0.00549,-0.32264,0.10048,-0.51944,0.26172,-0.30798,0.069175,-0.57411,0.28235,-0.18285,1
-0.30174,-0.31479,0.39922,0.77052,0.70861,0.56404,-1.3276,0.004193,0.75008,1.6491,12
-0.091897,0.2976,0.079145,0.1965,0.26172,-0.18341,0.22018,0.30509,-0.27891,-0.16344,6
-0.091897,-0.22058,0.27475,0.56717,-0.18517,0.73014,0.031425,-0.39664,-0.40364,0.77063,1
-0.00549,0.47818,0.029355,-0.24764,0.17234,1.0623,0.33343,-0.67045,0.095265,0.90238,1
0.43889,0.19553,0.14316,-0.80944,0.26172,-1.1385,-0.23283,-0.087894,-0.27891,-0.80202,6
0.36483,-0.047852,-0.038216,0.32781,0.26172,0.43946,0.48443,-0.96431,-0.93372,0.23227,1
-0.054866,-0.22058,0.46679,-0.21697,0.17234,-0.93086,0.44668,0.63492,0.31354,-0.94267,4
0.29076,0.077766,0.11827,0.27581,0.26172,-0.43256,0.031425,0.67686,-0.091823,-0.29399,6
0.1056,-0.087108,0.36721,1.5226,0.26172,1.1869,0.63543,0.57497,0.65653,0.81758,1
-0.030178,0.022808,0.15739,-0.77145,0.26172,1.0623,0.18243,-1.2172,-0.18537,0.98155,8
